EMPLOYEE_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,HIRE_DATE,DESIGNATION
198,Donald,OConnell,6505079833,21-Jun-07,DEV
199,Douglas,Grant,6505079844,13-Jan-08,QA
200,Jennifer,Whalen,5151234444,17-Sep-03,MANAGER
201,Michael,Hartstein,5151235555,17-Feb-04,QA
202,Pat,Fay,6031236666,17-Aug-05,QA
203,Susan,Mavris,5151237777,07-Jun-02,QA
204,Hermann,Baer,5151238888,07-Jun-02,QA
205,Shelley,Higgins,5151238080,07-Jun-02,DEV
206,William,Gietz,5151238181,07-Jun-02,DEV
100,Steven,King,5151234567,17-Jun-03,MANAGER
101,Neena,Kochhar,5151234568,21-Sep-05,DEV
102,Lex,De Haan,5151234569,13-Jan-01,DEV
103,Alexander,Hunold,5904234567,03-Jan-06,MANAGER
104,Bruce,Ernst,5904234568,21-May-07,DEV
105,David,Austin,5904234569,25-Jun-05,QA
106,Valli,Pataballa,5904234560,05-Feb-06,DEV
107,Diana,Lorentz,5904235567,07-Feb-07,DEV
108,Nancy,Greenberg,5151244569,17-Aug-02,DEV
109,Daniel,Faviet,5151244169,16-Aug-02,DEV
110,John,Chen,5151244269,28-Sep-05,DEV
111,Ismael,Sciarra,5151244369,30-Sep-05,DEV
112,Jose Manuel,Urman,5151244469,07-Mar-06,QA
113,Luis,Popp,5151244567,07-Dec-07,QA
114,Den,Raphaely,5151274561,07-Dec-02,QA
115,Alexander,Khoo,5151274562,18-May-03,QA
116,Shelli,Baida,5151274563,24-Dec-05,MANAGER
117,Sigal,Tobias,5151274564,24-Jul-05,QA
118,Guy,Himuro,5151274565,15-Nov-06,QA
119,Karen,Colmenares,5151274566,10-Aug-07,QA
120,Matthew,Weiss,6501231234,18-Jul-04,QA
121,Adam,Fripp,6501232234,10-Apr-05,DEV
122,Payam,Kaufling,6501233234,01-May-03,QA
123,Shanta,Vollman,6501234234,10-Oct-05,QA
124,Kevin,Mourgos,6501235234,16-Nov-07,QA
125,Julia,Nayer,6501241214,16-Jul-05,DEV
126,Irene,Mikkilineni,6501241224,28-Sep-06,DEV
127,James,Landry,6501241334,14-Jan-07,DEV
128,Steven,Markle,6501241434,08-Mar-08,QA
129,Laura,Bissot,6501245234,20-Aug-05,DEV
130,Mozhe,Atkinson,6501246234,30-Oct-05,DEV
131,James,Marlow,6501247234,16-Feb-05,MANAGER
132,TJ,Olson,6501248234,10-Apr-07,DEV
133,Jason,Mallin,6501271934,14-Jun-04,DEV
134,Michael,Rogers,6501271834,26-Aug-06,DEV
135,Ki,Gee,6501271734,12-Dec-07,DEV
136,Hazel,Philtanker,6501271634,06-Feb-08,QA
137,Renske,Ladwig,6501211234,14-Jul-03,DEV
138,Stephen,Stiles,6501212034,26-Oct-05,DEV
139,John,Seo,6501212019,12-Feb-06,DEV
140,Joshua,Patel,6501211834,06-Apr-06,DEV
